Flow Rate (m^3 / min),Tau's,Time (min),Ca'_analyt,Ca'_euler,difference in Ca'from models
0.085,6.418929187347537,53.70000000000049,0.33806028351686407,0.15428082967239898,0.1837794538444651
1e-05,6.000783288740926,75.89999999999996,6.0079869262143506e-05,0.10000602344043966,0.09994594357117752
0.01,6.060102585040074,72.30000000000017,0.05667813818111691,0.10607638958323577,0.04939825140211886
0.1,6.473143044198496,51.100000000000456,0.3753242369419127,0.1643020227306276,0.2110222142112851
0.25,6.933659619314043,35.00000000000023,0.6003359758793236,0.2652115327267711,0.3351244431525525
0.5,7.421361002627093,23.400000000000063,0.7502650219231444,0.41357399052567184,0.33669103139747253
1,8.051087556572922,14.499999999999964,0.8573295552985609,0.6111709952381519,0.24615856006040904
2,8.870365887412376,8.599999999999985,0.9232088711380075,0.7972436086757482,0.12596526246225936
5,10.086038222072025,4.100000000000001,0.9678115904716409,0.960584516921155,0.007227073550485907
10,11.134211917840638,2.3000000000000007,0.9836458550092879,1.0268058015487702,0.0431599465394823
