Time (seconds),Fluid Height (meters)

0.0,2
5.0,1.4696699141100895
10.0,1.0150576269117217
15.0,0.637244870662729
20.0,0.3378913005538254
25.0,0.119909732203697
30.0,-0.009945210294249107

0.0,2
2.0,1.7878679656440357
4.0,1.5873011956471321
6.0,1.3983189824574764
8.0,1.2209431749038724
10.0,1.0551987287364755
12.0,0.9011144290931611
14.0,0.7587238582866778
16.0,0.6280667237266001
18.0,0.5091907325263224
20.0,0.40215432992495387
22.0,0.3070308710764056
24.0,0.2239153213927325
26.0,0.1529357839799226
28.0,0.09427527648511602
30.0,0.04821885759572438
32.0,0.015280668575928552
34.0,-0.003261581636987688

0.0,2
1.0,1.8939339828220179
2.0,1.7907187772882698
3.0,1.6903554716320364
4.0,1.5928452181817956
5.0,1.4981892392249827
6.0,1.4063888336123682
7.0,1.317445384224178
8.0,1.2313603664437245
9.0,1.148135357815032
10.0,1.0677720490994898
11.0,0.9902722569953516
12.0,0.9156379388461325
13.0,0.8438712097440654
14.0,0.7749743625389112
15.0,0.7089498913991786
16.0,0.6458005197544792
17.0,0.5855292336920519
18.0,0.5281393222134846
19.0,0.47363442621825447
20.0,0.42201859872825215
21.0,0.37329637979431585
22.0,0.32747289087931697
23.0,0.28455395553375934
24.0,0.24454625627627397
25.0,0.20745754247336567
26.0,0.1732969119696311
27.0,0.14207520269820947
28.0,0.11380555439517202
29.0,0.08850424526949945
30.0,0.06619199796805232
31.0,0.0468961437871591
32.0,0.03065450566772146
33.0,0.01752318454679333
34.0,0.007595047104366757
35.0,0.0010588295466302496
36.0,-0.0013816450383214462

0.0,2
0.1,1.9893933982822019
0.2,1.9788149589524437
0.30000000000000004,1.9682646821105274
0.4,1.9577425678567895
0.5,1.947248616292105
0.6,1.9367828275178927
0.7,1.9263452016361184
0.7999999999999999,1.915935738749301
0.8999999999999999,1.905554438960515
0.9999999999999999,1.8952013023733967
1.0999999999999999,1.8848763290921478
1.2,1.8745795192215406
1.3,1.8643108728669227
1.4000000000000001,1.8540703901342208
1.5000000000000002,1.843858071129947
1.6000000000000003,1.8336739159612028
1.7000000000000004,1.8235179247356839
1.8000000000000005,1.8133900975616855
