Time (min),Temp output (°C),Temp input (°C)
0.0,38.7,38.7
0.01,38.71855114403313,42.473
0.02,38.7370110755179,42.473
0.03,38.75538024292957,42.473
0.04,38.77365909253832,42.473
0.05,38.791848068420094,42.473
0.060000000000000005,38.80994761246742,42.473
0.07,38.827958164400094,42.473
0.08,38.845880161775916,42.473
0.09,38.86371404000128,42.473
0.09999999999999999,38.881460232341766,42.473
0.10999999999999999,38.89911916993268,42.473
0.11999999999999998,38.916691281789504,42.473
0.12999999999999998,38.93417699481834,42.473
0.13999999999999999,38.95157673382625,42.473
0.15,38.968890921531624,42.473
0.16,38.986119978574415,42.473
0.17,39.00326432352636,42.473
0.18000000000000002,39.020324372901165,42.473
0.19000000000000003,39.037300541164605,42.473
0.20000000000000004,39.05419324074462,42.473
0.21000000000000005,39.07100288204129,42.473
0.22000000000000006,39.08772987343687,42.473
0.23000000000000007,39.10437462130565,42.473
0.24000000000000007,39.12093753002386,42.473
0.25000000000000006,39.13741900197948,42.473
0.26000000000000006,39.15381943758203,42.473
0.2700000000000001,39.170139235272295,42.473
0.2800000000000001,39.186378791531986,42.473
0.2900000000000001,39.2025385008934,42.473
0.3000000000000001,39.21861875594898,42.473
0.3100000000000001,39.234619947360876,42.473
0.3200000000000001,39.25054246387042,42.473
0.3300000000000001,39.26638669230756,42.473
0.34000000000000014,39.28215301760031,42.473
0.35000000000000014,39.29784182278402,42.473
0.36000000000000015,39.31345348901076,42.473
0.37000000000000016,39.328988395558525,42.473
0.38000000000000017,39.34444691984048,42.473
0.3900000000000002,39.35982943741411,42.473
0.4000000000000002,39.37513632199037,42.473
0.4100000000000002,39.390367945442726,42.473
0.4200000000000002,39.405524677816224,42.473
0.4300000000000002,39.42060688733647,42.473
0.4400000000000002,39.43561494041856,42.473
0.45000000000000023,39.45054920167601,42.473
0.46000000000000024,39.46541003392959,42.473
0.47000000000000025,39.48019779821614,42.473
0.48000000000000026,39.49491285379736,42.473
0.49000000000000027,39.50955555816852,42.473
0.5000000000000002,39.52412626706716,42.473
0.5100000000000002,39.53862533448172,42.473
0.5200000000000002,39.553053112660145,42.473
0.5300000000000002,39.56740995211843,42.473
0.5400000000000003,39.581696201649166,42.473
0.5500000000000003,39.595912208329985,42.473
0.5600000000000003,39.610058317532,42.473
0.5700000000000003,39.62413487292821,42.473
0.5800000000000003,39.63814221650183,42.473
0.5900000000000003,39.6520806885546,42.473
0.6000000000000003,39.66595062771506,42.473
0.6100000000000003,39.6797523709468,42.473
0.6200000000000003,39.69348625355659,42.473
0.6300000000000003,39.70715260920258,42.473
0.6400000000000003,39.72075176990237,42.473
0.6500000000000004,39.734284066041106,42.473
0.6600000000000004,39.747749826379476,42.473
0.6700000000000004,39.761149378061724,42.473
0.6800000000000004,39.77448304662358,42.473
0.6900000000000004,39.787751156000176,42.473
0.7000000000000004,39.80095402853392,42.473
0.7100000000000004,39.81409198498232,42.473
0.7200000000000004,39.82716534452577,42.473
0.7300000000000004,39.84017442477531,42.473
0.7400000000000004,39.85311954178037,42.473
0.7500000000000004,39.8660010100364,42.473
0.7600000000000005,39.87881914249254,42.473
0.7700000000000005,39.89157425055922,42.473
0.7800000000000005,39.90426664411573,42.473
0.7900000000000005,39.916896631517716,42.473
0.8000000000000005,39.92946451960472,42.473
0.8100000000000005,39.9419706137076,42.473
0.8200000000000005,39.95441521765597,42.473
0.8300000000000005,39.96679863378555,42.473
0.8400000000000005,39.979121162945546,42.473
0.8500000000000005,39.991383104505935,42.473
0.8600000000000005,40.00358475636476,42.473
0.8700000000000006,40.015726414955346,42.473
0.8800000000000006,40.02780837525351,42.473
0.8900000000000006,40.03983093078472,42.473
0.9000000000000006,40.051794373631246,42.473
0.9100000000000006,40.06369899443924,42.473
0.9200000000000006,40.075545082425805,42.473
0.9300000000000006,40.08733292538601,42.473
0.9400000000000006,40.09906280969988,42.473
0.9500000000000006,40.11073502033938,42.473
0.9600000000000006,40.12234984087532,42.473
0.9700000000000006,40.13390755348423,42.473
0.9800000000000006,40.145408438955236,42.473
0.9900000000000007,40.15685277669688,42.473
1.0000000000000007,40.168240844743906,42.473
1.0100000000000007,40.179572919764,42.473
1.0200000000000007,40.19084927706454,42.473
1.0300000000000007,40.20207019059925,42.473
1.0400000000000007,40.2132359329749,42.473
1.0500000000000007,40.22434677545787,42.473
1.0600000000000007,40.2354029879808,42.473
1.0700000000000007,40.246404839149115,42.473
1.0800000000000007,40.25735259624755,42.473
1.0900000000000007,40.26824652524665,42.473
1.1000000000000008,40.27908689080925,42.473
1.1100000000000008,40.289873956296866,42.473
1.1200000000000008,40.30060798377611,42.473
1.1300000000000008,40.31128923402508,42.473
1.1400000000000008,40.32191796653967,42.473
1.1500000000000008,40.33249443953988,42.473
1.1600000000000008,40.34301890997608,42.473
1.1700000000000008,40.353491633535285,42.473
1.1800000000000008,40.36391286464732,42.473
1.1900000000000008,40.374282856491035,42.473
1.2000000000000008,40.38460186100045,42.473
1.2100000000000009,40.39487012887086,42.473
1.2200000000000009,40.40508790956497,42.473
1.2300000000000009,40.41525545131888,42.473
1.2400000000000009,40.42537300114818,42.473
1.2500000000000009,40.43544080485393,42.473
1.260000000000001,40.44545910702864,42.473
1.270000000000001,40.455428151062186,42.473
1.280000000000001,40.465348179147746,42.473
1.290000000000001,40.47521943228769,42.473
1.300000000000001,40.48504215029941,42.473
1.310000000000001,40.49481657182116,42.473
1.320000000000001,40.50454293431787,42.473
1.330000000000001,40.51422147408688,42.473
1.340000000000001,40.523852426263716,42.473
