Time(sec)	Level	Setpoint	%Valve Output	Temp.	Setpoint	%Power to Heater
0.00	13.76	5.00	0.00	31.36	30.00	0.00
0.10	7.27	5.00	54.00	15.68	30.00	0.00
0.20	9.04	5.00	54.00	18.84	30.00	0.00
0.30	10.81	5.00	0.94	21.97	30.00	0.00
0.40	12.57	5.00	1.28	25.09	30.00	0.00
0.50	14.34	5.00	1.61	28.23	30.00	0.00
0.60	16.11	5.00	1.91	31.36	30.00	0.00
0.70	16.50	5.00	2.26	31.35	30.00	0.00
0.80	16.89	5.00	2.60	31.36	30.00	0.00
0.90	17.28	5.00	2.92	31.36	30.00	0.00
1.00	17.68	5.00	3.27	31.35	30.00	0.00
1.10	17.68	5.00	3.61	31.34	30.00	0.00
1.20	17.68	5.00	3.94	31.31	30.00	0.00
1.30	17.68	5.00	4.27	31.34	30.00	0.00
1.40	17.68	5.00	4.61	31.34	30.00	0.00
1.50	17.68	5.00	4.92	31.34	30.00	0.00
1.60	17.67	5.00	5.25	31.33	30.00	0.00
1.70	17.67	5.00	5.61	31.34	30.00	0.00
1.80	17.67	5.00	5.93	31.34	30.00	0.00
1.90	17.66	5.00	6.27	31.33	30.00	0.00
2.00	17.66	5.00	6.58	31.38	30.00	0.00
2.10	17.65	5.00	6.94	31.35	30.00	0.00
2.20	17.65	5.00	7.28	31.36	30.00	0.00
2.30	17.65	5.00	7.60	31.32	30.00	0.00
2.40	17.64	5.00	7.94	31.31	30.00	0.00
2.50	17.63	5.00	8.28	31.31	30.00	0.00
2.60	17.63	5.00	8.58	31.26	30.00	0.00
2.70	17.12	5.00	8.95	31.25	30.00	0.00
2.80	17.11	5.00	9.28	31.23	30.00	0.00
2.90	17.10	5.00	9.61	31.32	30.00	0.00
3.00	17.09	5.00	9.93	31.28	30.00	0.00
3.10	17.07	5.00	10.25	31.31	30.00	0.00
3.20	17.05	5.00	10.61	31.29	30.00	0.00
3.30	17.03	5.00	10.94	31.30	30.00	0.00
3.40	17.00	5.00	11.27	31.29	30.00	0.00
3.50	16.96	5.00	11.61	31.32	30.00	0.00
3.60	16.92	5.00	11.92	31.41	30.00	0.00
3.70	17.37	5.00	12.25	31.42	30.00	0.00
3.80	17.29	5.00	12.60	31.43	30.00	0.00
3.90	17.20	5.00	12.92	31.35	30.00	0.00
4.00	17.12	5.00	13.28	31.39	30.00	0.00
  4.10	 16.95	  5.00	 13.58	 31.39	 30.00	  0.00
  4.20	 16.29	  5.00	 13.95	 31.38	 30.00	  0.00
  4.30	 16.10	  5.00	 14.28	 31.39	 30.00	  0.00
  4.40	 15.93	  5.00	 14.61	 31.40	 30.00	  0.00
  4.50	 15.56	  5.00	 14.95	 31.35	 30.00	  0.00
  4.60	 15.19	  5.00	 15.26	 31.37	 30.00	  0.00
  4.70	 14.82	  5.00	 15.61	 31.37	 30.00	  0.00
  4.80	 14.43	  5.00	 15.94	 31.36	 30.00	  0.00
  4.90	 13.82	  5.00	 16.28	 31.36	 30.00	  0.00
  5.00	 13.20	  5.00	 16.61	 31.25	 30.00	  0.00
  5.10	 12.67	  5.00	 16.94	 31.26	 30.00	  0.00
  5.20	 12.57	  5.00	 17.25	 31.26	 30.00	  0.00
  5.30	 11.96	  5.00	 17.61	 31.25	 30.00	  0.00
  5.40	 11.36	  5.00	 17.94	 31.25	 30.00	  0.00
  5.50	 10.95	  5.00	 18.28	 31.21	 30.00	  0.00
  5.60	 10.47	  5.00	 18.58	 31.16	 30.00	  0.00
  5.70	  9.99	  5.00	 54.00	 31.14	 30.00	  0.00
  5.80	  9.57	  5.00	 54.00	 31.13	 30.00	  0.00
  5.90	  9.37	  5.00	 54.00	 31.15	 30.00	  0.00
  6.00	  9.09	  5.00	 54.00	 31.25	 30.00	  0.00
  6.10	  8.81	  5.00	 54.00	 31.26	 30.00	  0.00
  6.20	  8.59	  5.00	 54.00	 31.26	 30.00	  0.00
  6.30	  8.36	  5.00	 54.00	 31.24	 30.00	  0.00
  6.40	  8.09	  5.00	 54.00	 31.17	 30.00	  0.00
  6.50	  7.82	  5.00	 54.00	 31.24	 30.00	  0.00
  6.60	  7.63	  5.00	 54.00	 31.23	 30.00	  0.00
  6.70	  7.44	  5.00	 54.00	 31.23	 30.00	  0.00
  6.80	  7.26	  5.00	 54.00	 31.23	 30.00	  0.00
  6.90	  7.07	  5.00	 54.00	 31.23	 30.00	  0.00
  7.00	  6.97	  5.00	 54.00	 31.18	 30.00	  0.00
  7.10	  6.87	  5.00	 54.00	 31.13	 30.00	  0.00
  7.20	  6.76	  5.00	 54.00	 31.11	 30.00	  0.00
  7.30	  6.71	  5.00	 54.00	 31.15	 30.00	  0.00
  7.40	  6.69	  5.00	 54.00	 31.23	 30.00	  0.00
  7.50	  6.67	  5.00	 54.00	 31.21	 30.00	  0.00
  7.60	  6.65	  5.00	 54.00	 31.27	 30.00	  0.00
  7.70	  6.63	  5.00	 54.00	 31.28	 30.00	  0.00
  7.80	  6.62	  5.00	 54.00	 31.29	 30.00	  0.00
  7.90	  6.61	  5.00	 54.00	 31.28	 30.00	  0.00
  8.00	  6.60	  5.00	 54.00	 31.30	 30.00	  0.00
  8.10	  6.60	  5.00	 54.00	 31.35	 30.00	  0.00
  8.20	  6.60	  5.00	 54.00	 31.36	 30.00	  0.00
  8.30	  6.60	  5.00	 54.00	 31.31	 30.00	  0.00
  8.40	  6.60	  5.00	 54.00	 31.31	 30.00	  0.00
  8.50	  6.60	  5.00	 54.00	 31.33	 30.00	  0.00
  8.60	  6.61	  5.00	 54.00	 31.28	 30.00	  0.00
  8.70	  6.61	  5.00	 54.00	 31.31	 30.00	  0.00
  8.80	  6.62	  5.00	 54.00	 31.31	 30.00	  0.00
  8.90	  6.62	  5.00	 54.00	 31.31	 30.00	  0.00
  9.00	  6.63	  5.00	 54.00	 31.30	 30.00	  0.00
  9.10	  6.64	  5.00	 54.00	 31.30	 30.00	  0.00
  9.20	  6.64	  5.00	 54.00	 31.34	 30.00	  0.00
  9.30	  6.66	  5.00	 54.00	 31.37	 30.00	  0.00
  9.40	  6.67	  5.00	 54.00	 31.41	 30.00	  0.00
  9.50	  6.68	  5.00	 54.00	 31.33	 30.00	  0.00
  9.60	  6.69	  5.00	 54.00	 31.32	 30.00	  0.00
  9.70	  6.70	  5.00	 54.00	 31.28	 30.00	  0.00
  9.80	  6.71	  5.00	 54.00	 31.23	 30.00	  0.00
  9.90	  6.72	  5.00	 54.00	 31.20	 30.00	  0.00
 10.00	  6.74	  5.00	 54.00	 31.18	 30.00	  0.00
 10.10	  6.75	  5.00	 54.00	 31.18	 30.00	  0.00
 10.20	  6.77	  5.00	 54.00	 31.16	 30.00	  0.00
 10.30	  6.78	  5.00	 54.00	 31.17	 30.00	  0.00
 10.40	  6.80	  5.00	 54.00	 31.13	 30.00	  0.00
 10.50	  6.81	  5.00	 54.00	 31.20	 30.00	  0.00
 10.60	  6.82	  5.00	 54.00	 31.20	 30.00	  0.00
 10.70	  6.84	  5.00	 54.00	 31.14	 30.00	  0.00
 10.80	  6.87	  5.00	 54.00	 31.15	 30.00	  0.00
 10.90	  6.89	  5.00	 54.00	 31.20	 30.00	  0.00
 11.00	  6.91	  5.00	 54.00	 31.22	 30.00	  0.00
 11.10	  6.92	  5.00	 54.00	 31.22	 30.00	  0.00
 11.20	  6.94	  5.00	 54.00	 31.19	 30.00	  0.00
 11.30	  6.96	  5.00	 54.00	 31.17	 30.00	  0.00
 11.40	  6.97	  5.00	 54.00	 31.10	 30.00	  0.00
 11.50	  7.00	  5.00	 54.00	 31.07	 30.00	  0.00
 11.60	  7.03	  5.00	 54.00	 31.06	 30.00	  0.00
 11.70	  7.06	  5.00	 54.00	 31.13	 30.00	  0.00
 11.80	  7.08	  5.00	 54.00	 31.16	 30.00	  0.00
 11.90	  7.10	  5.00	 54.00	 31.14	 30.00	  0.00
 12.00	  7.12	  5.00	 54.00	 31.15	 30.00	  0.00
 12.10	  7.14	  5.00	 54.00	 31.15	 30.00	  0.00
 12.20	  7.16	  5.00	 54.00	 31.15	 30.00	  0.00
 12.30	  7.19	  5.00	 54.00	 31.19	 30.00	  0.00
 12.40	  7.21	  5.00	 54.00	 31.24	 30.00	  0.00
 12.50	  7.23	  5.00	 54.00	 31.31	 30.00	  0.00
 12.60	  7.24	  5.00	 54.00	 31.31	 30.00	  0.00
 12.70	  7.26	  5.00	 54.00	 31.33	 30.00	  0.00
 12.80	  7.27	  5.00	 54.00	 31.30	 30.00	  0.00
 12.90	  7.28	  5.00	 54.00	 31.33	 30.00	  0.00
 13.00	  7.30	  5.00	 54.00	 31.30	 30.00	  0.00
 13.10	  7.33	  5.00	 54.00	 31.31	 30.00	  0.00
 13.20	  7.35	  5.00	 54.00	 31.31	 30.00	  0.00
 13.30	  7.36	  5.00	 54.00	 31.27	 30.00	  0.00
 13.40	  7.38	  5.00	 54.00	 31.28	 30.00	  0.00
 13.50	  7.40	  5.00	 54.00	 31.25	 30.00	  0.00
 13.60	  7.41	  5.00	 54.00	 31.25	 30.00	  0.00
 13.70	  7.42	  5.00	 54.00	 31.22	 30.00	  0.00
 13.80	  7.44	  5.00	 54.00	 31.24	 30.00	  0.00
 13.90	  7.46	  5.00	 54.00	 31.22	 30.00	  0.00
 14.00	  7.48	  5.00	 54.00	 31.23	 30.00	  0.00
 14.10	  7.49	  5.00	 54.00	 31.24	 30.00	  0.00
 14.20	  7.50	  5.00	 54.00	 31.19	 30.00	  0.00
 14.30	  7.52	  5.00	 54.00	 31.26	 30.00	  0.00
 14.40	  7.53	  5.00	 54.00	 31.31	 30.00	  0.00
 14.50	  7.55	  5.00	 54.00	 31.31	 30.00	  0.00
 14.60	  7.57	  5.00	 54.00	 31.38	 30.00	  0.00
 14.70	  7.59	  5.00	 54.00	 31.41	 30.00	  0.00
 14.80	  7.60	  5.00	 54.00	 31.45	 30.00	  0.00
 14.90	  7.63	  5.00	 54.00	 31.45	 30.00	  0.00
 15.00	  7.66	  5.00	 54.00	 31.45	 30.00	  0.00
 15.10	  7.68	  5.00	 54.00	 31.44	 30.00	  0.00
 15.20	  7.71	  5.00	 54.00	 31.49	 30.00	  0.00
 15.30	  7.75	  5.00	 54.00	 31.45	 30.00	  0.00
 15.40	  7.78	  5.00	 54.00	 31.40	 30.00	  0.00
 15.50	  7.80	  5.00	 54.00	 31.41	 30.00	  0.00
 15.60	  7.84	  5.00	 54.00	 31.30	 30.00	  0.00
 15.70	  7.87	  5.00	 54.00	 31.27	 30.00	  0.00
 15.80	  7.91	  5.00	 54.00	 31.30	 30.00	  0.00
 15.90	  7.93	  5.00	 54.00	 31.30	 30.00	  0.00
 16.00	  7.95	  5.00	 54.00	 31.30	 30.00	  0.00
 16.10	  7.98	  5.00	 54.00	 31.31	 30.00	  0.00
 16.20	  8.00	  5.00	 54.00	 31.31	 30.00	  0.00
 16.30	  8.02	  5.00	 54.00	 31.29	 30.00	  0.00
 16.40	  8.05	  5.00	 54.00	 31.29	 30.00	  0.00
 16.50	  8.08	  5.00	 54.00	 31.30	 30.00	  0.00
 16.60	  8.10	  5.00	 54.00	 31.31	 30.00	  0.00
 16.70	  8.12	  5.00	 54.00	 31.35	 30.00	  0.00
 16.80	  8.14	  5.00	 54.00	 31.29	 30.00	  0.00
 16.90	  8.17	  5.00	 54.00	 31.28	 30.00	  0.00
 17.00	  8.19	  5.00	 54.00	 31.28	 30.00	  0.00
 17.10	  8.22	  5.00	 54.00	 31.24	 30.00	  0.00
 17.20	  8.26	  5.00	 54.00	 31.22	 30.00	  0.00
 17.30	  8.28	  5.00	 54.00	 31.22	 30.00	  0.00
 17.40	  8.30	  5.00	 54.00	 31.22	 30.00	  0.00
 17.50	  8.33	  5.00	 54.00	 31.16	 30.00	  0.00
 17.60	  8.36	  5.00	 54.00	 31.17	 30.00	  0.00
 17.70	  8.24	  5.00	 54.00	 31.06	 30.00	  0.00
 17.80	  8.28	  5.00	 54.00	 31.05	 30.00	  0.00
 17.90	  8.33	  5.00	 54.00	 31.04	 30.00	  0.00
 18.00	  8.37	  5.00	 54.00	 31.04	 30.00	  0.00
 18.10	  8.31	  5.00	 54.00	 31.09	 30.00	  0.00
 18.20	  8.36	  5.00	 54.00	 31.09	 30.00	  0.00
 18.30	  8.42	  5.00	 54.00	 31.13	 30.00	  0.00
 18.40	  8.47	  5.00	 54.00	 31.14	 30.00	  0.00
 18.50	  8.51	  5.00	 54.00	 31.19	 30.00	  0.00
 18.60	  8.55	  5.00	 54.00	 31.10	 30.00	  0.00
 18.70	  8.74	  5.00	 54.00	 31.18	 30.00	  0.00
 18.80	  8.78	  5.00	 54.00	 31.18	 30.00	  0.00
 18.90	  8.81	  5.00	 54.00	 31.19	 30.00	  0.00
 19.00	  8.86	  5.00	 54.00	 31.20	 30.00	  0.00
 19.10	  9.00	  5.00	 54.00	 31.20	 30.00	  0.00
 19.20	  9.03	  5.00	 54.00	 31.19	 30.00	  0.00
 19.30	  9.07	  5.00	 54.00	 31.15	 30.00	  0.00
 19.40	  9.11	  5.00	 54.00	 31.15	 30.00	  0.00
 19.50	  9.15	  5.00	 54.00	 31.15	 30.00	  0.00
 19.60	  9.18	  5.00	 54.00	 31.23	 30.00	  0.00
 19.70	  9.23	  5.00	 54.00	 31.25	 30.00	  0.00
 19.80	  9.27	  5.00	 54.00	 31.25	 30.00	  0.00
 19.90	  9.30	  5.00	 54.00	 31.25	 30.00	  0.00
 20.00	  9.33	  5.00	 54.00	 31.22	 30.00	  0.00
 20.10	  9.36	  5.00	 54.00	 31.22	 30.00	  0.00
 20.20	  9.39	  5.00	 54.00	 31.23	 30.00	  0.00
 20.30	  9.42	  5.00	 54.00	 31.23	 30.00	  0.00
 20.40	  9.46	  5.00	 54.00	 31.18	 30.00	  0.00
 20.50	  9.50	  5.00	 54.00	 31.18	 30.00	  0.00
 20.60	  9.54	  5.00	 54.00	 31.19	 30.00	  0.00
 20.70	  9.57	  5.00	 54.00	 31.18	 30.00	  0.00
 20.80	  9.62	  5.00	 54.00	 31.23	 30.00	  0.00
 20.90	  9.67	  5.00	 54.00	 31.25	 30.00	  0.00
 21.00	  9.71	  5.00	 54.00	 31.22	 30.00	  0.00
 21.10	  9.75	  5.00	 54.00	 31.23	 30.00	  0.00
 21.20	  9.80	  5.00	 54.00	 31.23	 30.00	  0.00
 21.30	  9.85	  5.00	 54.00	 31.20	 30.00	  0.00
 21.40	  9.89	  5.00	 54.00	 31.23	 30.00	  0.00
 21.50	  9.93	  5.00	 54.00	 31.21	 30.00	  0.00
 21.60	  9.97	  5.00	 54.00	 31.22	 30.00	  0.00
 21.70	 10.01	  5.00	 54.00	 31.19	 30.00	  0.00
 21.80	 10.04	  5.00	 54.00	 31.15	 30.00	  0.00
 21.90	  9.50	  5.00	 54.00	 31.13	 30.00	  0.00
 22.00	  8.86	  5.00	 54.00	 31.11	 30.00	  0.00
 22.10	  8.89	  5.00	 54.00	 31.11	 30.00	  0.00
 22.20	  8.90	  5.00	 54.00	 31.11	 30.00	  0.00
 22.30	  8.90	  5.00	 54.00	 31.17	 30.00	  0.00
 22.40	  8.93	  5.00	 54.00	 31.23	 30.00	  0.00
 22.50	  8.96	  5.00	 54.00	 31.26	 30.00	  0.00
 22.60	  8.99	  5.00	 54.00	 31.23	 30.00	  0.00
 22.70	  9.03	  5.00	 54.00	 31.26	 30.00	  0.00
 22.80	  9.07	  5.00	 54.00	 31.25	 30.00	  0.00
 22.90	  9.68	  5.00	 54.00	 31.21	 30.00	  0.00
 23.00	 10.38	  5.00	 54.00	 31.28	 30.00	  0.00
 23.10	 10.41	  5.00	 54.00	 31.26	 30.00	  0.00
 23.20	 10.44	  5.00	 54.00	 31.26	 30.00	  0.00
 23.30	 10.50	  5.00	 54.00	 31.26	 30.00	  0.00
 23.40	 10.01	  5.00	 54.00	 31.20	 30.00	  0.00
 23.50	 10.04	  5.00	 54.00	 31.19	 30.00	  0.00
 23.60	 10.06	  5.00	 54.00	 31.25	 30.00	  0.00
 23.70	 10.09	  5.00	 54.00	 31.25	 30.00	  0.00
 23.80	 10.12	  5.00	 54.00	 31.29	 30.00	  0.00
 23.90	 10.15	  5.00	 54.00	 31.33	 30.00	  0.00
 24.00	 10.18	  5.00	 54.00	 31.33	 30.00	  0.00
 24.10	 10.21	  5.00	 54.00	 31.31	 30.00	  0.00
 24.20	 10.25	  5.00	 54.00	 31.34	 30.00	  0.00
 24.30	 10.29	  5.00	 54.00	 31.35	 30.00	  0.00
 24.40	 10.83	  5.00	 54.00	 31.30	 30.00	  0.00
 24.50	 10.87	  5.00	 54.00	 31.28	 30.00	  0.00
 24.60	 10.90	  5.00	 54.00	 31.25	 30.00	  0.00
 24.70	 10.93	  5.00	 54.00	 31.25	 30.00	  0.00
 24.80	 10.96	  5.00	 54.00	 31.23	 30.00	  0.00
 24.90	 10.98	  5.00	 54.00	 31.23	 30.00	  0.00
 25.00	 11.01	  5.00	 54.00	 31.23	 30.00	  0.00
 25.10	 11.03	  5.00	 54.00	 31.25	 30.00	  0.00
 25.20	 11.06	  5.00	 54.00	 31.22	 30.00	  0.00
 25.30	 11.09	  5.00	 54.00	 31.18	 30.00	  0.00
 25.40	 11.12	  5.00	 54.00	 31.27	 30.00	  0.00
 25.50	 11.14	  5.00	 54.00	 31.29	 30.00	  0.00
 25.60	 11.18	  5.00	 54.00	 31.29	 30.00	  0.00
 25.70	 11.20	  5.00	 54.00	 31.33	 30.00	  0.00
 25.80	 11.23	  5.00	 54.00	 31.34	 30.00	  0.00
 25.90	 11.25	  5.00	 54.00	 31.38	 30.00	  0.00
 26.00	 11.29	  5.00	 54.00	 31.38	 30.00	  0.00
 26.10	 11.32	  5.00	 54.00	 31.39	 30.00	  0.00
 26.20	 11.35	  5.00	 54.00	 31.41	 30.00	  0.00
 26.30	 11.38	  5.00	 54.00	 31.39	 30.00	  0.00
 26.40	 11.42	  5.00	 54.00	 31.34	 30.00	  0.00
 26.50	 10.62	  5.00	 54.00	 31.32	 30.00	  0.00
 26.60	 10.65	  5.00	 54.00	 31.31	 30.00	  0.00
 26.70	 10.33	  5.00	 54.00	 31.25	 30.00	  0.00
 26.80	 10.36	  5.00	 54.00	 31.22	 30.00	  0.00
 26.90	 10.40	  5.00	 54.00	 31.18	 30.00	  0.00
 27.00	 10.42	  5.00	 54.00	 31.17	 30.00	  0.00
 27.10	 10.31	  5.00	 54.00	 31.14	 30.00	  0.00
 27.20	 10.20	  5.00	 54.00	 31.18	 30.00	  0.00
 27.30	 10.22	  5.00	 54.00	 31.13	 30.00	  0.00
 27.40	 10.24	  5.00	 54.00	 31.17	 30.00	  0.00
 27.50	 11.09	  5.00	 54.00	 31.25	 30.00	  0.00
 27.60	 11.11	  5.00	 54.00	 31.18	 30.00	  0.00
 27.70	 11.01	  5.00	 54.00	 31.21	 30.00	  0.00
 27.80	 11.04	  5.00	 54.00	 31.19	 30.00	  0.00
 27.90	 11.06	  5.00	 54.00	 31.18	 30.00	  0.00
 28.00	 11.09	  5.00	 54.00	 31.19	 30.00	  0.00
 28.10	 11.25	  5.00	 54.00	 31.22	 30.00	  0.00
 28.20	 11.42	  5.00	 54.00	 31.16	 30.00	  0.00
 28.30	 11.44	  5.00	 54.00	 31.20	 30.00	  0.00
 28.40	 11.47	  5.00	 54.00	 31.20	 30.00	  0.00
 28.50	 11.50	  5.00	 54.00	 31.24	 30.00	  0.00
 28.60	 11.53	  5.00	 54.00	 31.31	 30.00	  0.00
 28.70	 12.03	  5.00	 54.00	 31.30	 30.00	  0.00
 28.80	 12.05	  5.00	 54.00	 31.32	 30.00	  0.00
 28.90	 12.08	  5.00	 54.00	 31.29	 30.00	  0.00
 29.00	 12.10	  5.00	 54.00	 31.38	 30.00	  0.00
 29.10	 12.13	  5.00	 54.00	 31.37	 30.00	  0.00
 29.20	 12.15	  5.00	 54.00	 31.39	 30.00	  0.00
 29.30	 12.17	  5.00	 54.00	 31.41	 30.00	  0.00
 29.40	 12.19	  5.00	 54.00	 31.40	 30.00	  0.00
 29.50	 12.20	  5.00	 54.00	 31.32	 30.00	  0.00
 29.60	 12.21	  5.00	 54.00	 31.31	 30.00	  0.00
 29.70	 12.22	  5.00	 54.00	 31.31	 30.00	  0.00
 29.80	 12.01	  5.00	 54.00	 31.31	 30.00	  0.00
 29.90	 12.01	  5.00	 54.00	 31.35	 30.00	  0.00
 30.00	 12.01	  5.00	 54.00	 31.31	 30.00	  0.00
 30.10	 12.01	  5.00	 54.00	 31.34	 30.00	  0.00
 30.20	 12.02	  5.00	 54.00	 31.34	 30.00	  0.00
 30.30	 12.02	  5.00	 54.00	 31.31	 30.00	  0.00
 30.40	 12.02	  5.00	 54.00	 31.30	 30.00	  0.00
 30.50	 12.03	  5.00	 54.00	 31.29	 30.00	  0.00
 30.60	 12.04	  5.00	 54.00	 31.30	 30.00	  0.00
 30.70	 12.06	  5.00	 54.00	 31.29	 30.00	  0.00
 30.80	 12.29	  5.00	 54.00	 31.27	 30.00	  0.00
 30.90	 11.43	  5.00	 54.00	 31.27	 30.00	  0.00
 31.00	 11.44	  5.00	 54.00	 31.21	 30.00	  0.00
 31.10	 11.45	  5.00	 54.00	 31.20	 30.00	  0.00
 31.20	 11.47	  5.00	 54.00	 31.21	 30.00	  0.00
 31.30	 11.49	  5.00	 54.00	 31.27	 30.00	  0.00
 31.40	 11.50	  5.00	 54.00	 31.28	 30.00	  0.00
 31.50	 11.52	  5.00	 54.00	 31.29	 30.00	  0.00
 31.60	 11.44	  5.00	 54.00	 31.30	 30.00	  0.00
 31.70	 11.45	  5.00	 54.00	 31.33	 30.00	  0.00
 31.80	 11.36	  5.00	 54.00	 31.34	 30.00	  0.00
 31.90	 12.13	  5.00	 54.00	 31.35	 30.00	  0.00
 32.00	 12.15	  5.00	 54.00	 31.34	 30.00	  0.00
 32.10	 12.17	  5.00	 54.00	 31.34	 30.00	  0.00
 32.20	 12.21	  5.00	 54.00	 31.34	 30.00	  0.00
 32.30	 12.25	  5.00	 54.00	 31.31	 30.00	  0.00
 32.40	 12.29	  5.00	 54.00	 31.31	 30.00	  0.00
 32.50	 12.33	  5.00	 54.00	 31.30	 30.00	  0.00
 32.60	 12.46	  5.00	 54.00	 31.30	 30.00	  0.00
 32.70	 12.46	  5.00	 54.00	 31.29	 30.00	  0.00
 32.80	 12.60	  5.00	 54.00	 31.28	 30.00	  0.00
 32.90	 12.75	  5.00	 54.00	 31.28	 30.00	  0.00
 33.00	 12.79	  5.00	 54.00	 31.29	 30.00	  0.00
 33.10	 12.04	  5.00	 54.00	 31.27	 30.00	  0.00
 33.20	 12.06	  5.00	 54.00	 31.23	 30.00	  0.00
 33.30	 12.08	  5.00	 54.00	 31.23	 30.00	  0.00
 33.40	 12.10	  5.00	 54.00	 31.23	 30.00	  0.00
 33.50	 12.11	  5.00	 54.00	 31.23	 30.00	  0.00
 33.60	 12.12	  5.00	 54.00	 31.22	 30.00	  0.00
 33.70	 12.20	  5.00	 54.00	 31.21	 30.00	  0.00
 33.80	 12.24	  5.00	 54.00	 31.22	 30.00	  0.00
 33.90	 12.27	  5.00	 54.00	 31.22	 30.00	  0.00
 34.00	 12.31	  5.00	 54.00	 31.19	 30.00	  0.00
 34.10	 13.12	  5.00	 54.00	 31.21	 30.00	  0.00
 34.20	 13.15	  5.00	 54.00	 31.19	 30.00	  0.00
 34.30	 13.18	  5.00	 54.00	 31.17	 30.00	  0.00
 34.40	 13.20	  5.00	 54.00	 31.18	 30.00	  0.00
 34.50	 13.23	  5.00	 54.00	 31.18	 30.00	  0.00
 34.60	 13.26	  5.00	 54.00	 31.20	 30.00	  0.00
 34.70	 13.26	  5.00	 54.00	 31.21	 30.00	  0.00
 34.80	 13.27	  5.00	 54.00	 31.21	 30.00	  0.00
 34.90	 13.29	  5.00	 54.00	 31.22	 30.00	  0.00
 35.00	 13.30	  5.00	 54.00	 31.22	 30.00	  0.00
 35.10	 13.30	  5.00	 54.00	 31.22	 30.00	  0.00
 35.20	 12.58	  5.00	 54.00	 31.21	 30.00	  0.00
 35.30	 12.60	  5.00	 54.00	 31.23	 30.00	  0.00
 35.40	 12.61	  5.00	 54.00	 31.22	 30.00	  0.00
 35.50	 12.63	  5.00	 54.00	 31.23	 30.00	  0.00
 35.60	 12.65	  5.00	 54.00	 31.22	 30.00	  0.00
 35.70	 11.91	  5.00	 54.00	 31.20	 30.00	  0.00
 35.80	 11.93	  5.00	 54.00	 31.20	 30.00	  0.00
 35.90	 11.94	  5.00	 54.00	 31.14	 30.00	  0.00
 36.00	 11.96	  5.00	 54.00	 31.22	 30.00	  0.00
 36.10	 11.97	  5.00	 54.00	 31.19	 30.00	  0.00
 36.20	 12.72	  5.00	 54.00	 31.26	 30.00	  0.00
 36.30	 12.75	  5.00	 54.00	 31.29	 30.00	  0.00
 36.40	 12.78	  5.00	 54.00	 31.29	 30.00	  0.00
 36.50	 12.79	  5.00	 54.00	 31.26	 30.00	  0.00
 36.60	 12.81	  5.00	 54.00	 31.26	 30.00	  0.00
 36.70	 13.60	  5.00	 54.00	 31.24	 30.00	  0.00
 36.80	 13.62	  5.00	 54.00	 31.25	 30.00	  0.00
 36.90	 13.65	  5.00	 54.00	 31.30	 30.00	  0.00
 37.00	 13.67	  5.00	 54.00	 31.28	 30.00	  0.00
 37.10	 12.97	  5.00	 54.00	 31.31	 30.00	  0.00
 37.20	 12.32	  5.00	 54.00	 31.30	 30.00	  0.00
 37.30	 12.33	  5.00	 54.00	 31.22	 30.00	  0.00
 37.40	 12.33	  5.00	 54.00	 31.19	 30.00	  0.00
 37.50	 12.34	  5.00	 54.00	 31.22	 30.00	  0.00
 37.60	 12.35	  5.00	 54.00	 31.24	 30.00	  0.00
 37.70	 12.36	  5.00	 54.00	 31.28	 30.00	  0.00
 37.80	 12.36	  5.00	 54.00	 31.33	 30.00	  0.00
 37.90	 12.37	  5.00	 54.00	 31.32	 30.00	  0.00
 38.00	 12.38	  5.00	 54.00	 31.28	 30.00	  0.00
 38.10	 13.11	  5.00	 54.00	 31.28	 30.00	  0.00
 38.20	 13.79	  5.00	 54.00	 31.28	 30.00	  0.00
 38.30	 13.80	  5.00	 54.00	 31.37	 30.00	  0.00
 38.40	 13.81	  5.00	 54.00	 31.41	 30.00	  0.00
 38.50	 13.83	  5.00	 54.00	 31.40	 30.00	  0.00
 38.60	 13.84	  5.00	 54.00	 31.37	 30.00	  0.00
 38.70	 12.96	  5.00	 54.00	 31.39	 30.00	  0.00
 38.80	 12.97	  5.00	 54.00	 31.33	 30.00	  0.00
 38.90	 12.99	  5.00	 54.00	 31.34	 30.00	  0.00
 39.00	 13.00	  5.00	 54.00	 31.33	 30.00	  0.00
 39.10	 13.01	  5.00	 54.00	 31.33	 30.00	  0.00
 39.20	 13.03	  5.00	 54.00	 31.32	 30.00	  0.00
 39.30	 13.05	  5.00	 54.00	 31.21	 30.00	  0.00
 39.40	 13.06	  5.00	 54.00	 31.21	 30.00	  0.00
 39.50	 13.08	  5.00	 54.00	 31.21	 30.00	  0.00
 39.60	 13.11	  5.00	 54.00	 31.24	 30.00	  0.00
 39.70	 14.03	  5.00	 54.00	 31.22	 30.00	  0.00
 39.80	 14.06	  5.00	 54.00	 31.23	 30.00	  0.00
 39.90	 14.10	  5.00	 54.00	 31.23	 30.00	  0.00
 40.00	 12.87	  5.00	 54.00	 31.23	 30.00	  0.00
 40.10	 12.91	  5.00	 54.00	 31.23	 30.00	  0.00
 40.20	 12.94	  5.00	 54.00	 31.19	 30.00	  0.00
 40.30	 12.97	  5.00	 54.00	 31.24	 30.00	  0.00
 40.40	 13.01	  5.00	 54.00	 31.26	 30.00	  0.00
 40.50	 11.66	  5.00	 54.00	 31.25	 30.00	  0.00
 40.60	 11.68	  5.00	 54.00	 31.22	 30.00	  0.00
